iter	Passed	Remaining
0	0	66
1	1	60
2	1	59
3	2	55
4	2	54
5	3	53
6	3	52
7	4	50
8	4	49
9	5	48
10	5	46
11	6	45
12	6	45
13	7	44
14	7	43
15	8	42
16	8	41
17	9	41
18	9	40
19	9	39
20	10	39
21	10	38
22	11	37
23	11	37
24	12	36
25	12	35
26	13	35
27	13	34
28	13	34
29	14	33
30	14	33
31	15	32
32	15	32
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	27
43	20	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	22
54	26	21
55	26	21
56	27	20
57	27	20
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	35	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	43	5
88	43	5
89	44	4
90	44	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	47	1
97	48	0
98	48	0
99	49	0
