iter	Passed	Remaining
0	120	120861
1	121	60656
2	122	40569
3	122	30512
4	123	24498
5	123	20483
6	124	17613
7	124	15461
8	125	13787
9	125	12445
10	126	11344
11	126	10425
12	127	9647
13	127	8981
14	127	8403
15	128	7897
16	128	7451
17	129	7053
18	129	6698
19	130	6378
20	130	6091
21	131	5841
22	131	5602
23	132	5381
24	132	5178
25	133	5003
26	134	4829
27	134	4667
28	134	4517
29	135	4376
30	135	4245
31	136	4121
32	136	4006
33	137	3898
34	137	3795
35	138	3698
36	138	3606
37	139	3519
38	139	3436
39	139	3357
40	140	3282
41	140	3211
42	141	3143
43	141	3078
44	142	3016
45	142	2957
46	143	2900
47	143	2846
48	143	2794
49	144	2744
50	144	2696
51	145	2649
52	145	2604
53	146	2561
54	146	2519
55	147	2479
56	147	2441
57	148	2405
58	148	2369
59	149	2334
60	149	2301
61	149	2268
62	150	2237
63	150	2206
64	151	2176
65	151	2147
66	152	2119
67	152	2091
68	153	2065
69	153	2039
70	153	2014
71	154	1990
72	154	1966
73	155	1943
74	155	1921
75	156	1899
76	156	1878
77	157	1857
78	157	1836
79	157	1816
80	158	1797
81	158	1778
82	159	1757
83	159	1739
84	159	1722
85	160	1704
86	160	1688
87	161	1671
88	161	1655
89	162	1640
90	162	1624
91	163	1609
92	163	1594
93	164	1580
94	164	1566
95	164	1552
96	165	1540
97	165	1527
98	166	1514
99	166	1501
100	167	1488
101	167	1477
102	168	1465
103	168	1453
104	169	1442
105	169	1430
106	170	1419
107	170	1408
108	170	1397
109	171	1386
110	171	1376
111	172	1365
112	172	1355
113	173	1345
114	173	1335
115	174	1326
116	174	1316
117	174	1306
118	175	1297
119	175	1288
120	176	1279
121	176	1270
122	176	1261
123	177	1253
124	177	1244
125	178	1236
126	178	1227
127	179	1219
128	179	1212
129	179	1204
130	180	1196
131	180	1189
132	181	1181
133	181	1174
134	182	1167
135	182	1160
136	183	1153
137	183	1146
138	183	1139
139	184	1132
140	184	1126
141	185	1118
142	185	1112
143	186	1105
144	186	1099
